0		1	1	11	900011	
1		1	1	12	900012	
2		1	2	13	900013	
3		1	2	14	900014	
4		1	3	15	900015	
5		1	3	16	900016	
6		1	3	17	900017	
7		1	3	18	900018	
8		1	3	19	900019	
9		1	4	20	900020	
10		1	5	20	900021	
11		1	6	20	900022	
12		1	7	20	900023	
13		1	8	20	900024	
14		2	1	11	900011	
15		2	1	12	900012	
16		2	2	13	900013	
17		2	2	14	900014	
18		2	3	15	900015	
19		2	3	16	900016	
20		2	3	17	900017	
21		2	3	18	900018	
22		2	3	19	900019	
23		2	4	20	900020	
24		2	5	20	900021	
25		2	6	20	900022	
26		2	7	20	900023	
27		2	8	20	900024	
28		3	1	11	900011	
29		3	3	21	900019	
30		3	3	22	900028	
31		4	1	23	900012	
32		4	1	24	900029	
33		4	1	11	900011	
34		4	1	25	900012	
35		4	1	12	900012	
36		4	2	13	900013	
37		4	2	26	900030	
38		4	2	27	900031	
39		4	3	19	900019	
40		4	3	28	900032	
41		4	3	29	900033	
42		4	3	30	900028	
43		4	3	31	900034	
44		4	4	32	900035	
45		4	4	33	900036	
46		4	5	34	900021	
47		4	5	34	900037	
48		4	5	35	900038	
49		4	9	36	900039	
50		4	10	36	900040	
51		4	11	36	900041	
52		4	12	37	900042	
53		4	12	38	900043	
54		5	1	39	900011	
55		5	1	40	900012	
56		5	1	41	900012	
57		5	1	42	900044	
58		5	1	43	900045	
59		5	2	13	900013	
60		5	2	27	900031	
61		5	3	30	900028	
62		5	3	44	900046	
63		5	5	35	900038	
64		5	5	45	900047	
65		5	6	46	900022	
66		5	6	47	900048	
67		5	13	46	900023	
68		5	13	47	900049	
69		5	8	48	900024	
70		5	14	48	900050	
71		5	10	48	900040	
72		5	15	48	900051	
73		5	12	37	900042	
74		5	12	38	900043	
75		6	1	49	900045	
76		6	1	49	900044	
77		6	1	50	900045	
78		6	1	50	900044	
79		6	1	12	900012	
80		6	2	27	900031	
81		6	3	30	900028	
82		6	5	45	900047	
83		6	6	47	900048	
84		6	13	47	900049	
85		6	15	48	900051	
86		6	12	37	900042	
87		6	12	38	900043	
88		7	1	39	900011	
89		7	1	41	900012	
90		7	1	51	900052	
91		7	1	52	900053	
92		7	1	42	900044	
93		7	1	43	900045	
94		7	2	13	900013	
95		7	2	27	900031	
96		7	3	30	900028	
97		7	5	45	900047	
98		7	13	20	900049	
99		7	14	20	900050	
100		7	15	20	900051	
101		7	12	37	900042	
102		7	12	38	900043	
103		8	1	39	900011	
104		8	1	51	900052	
105		8	1	52	900053	
106		8	2	13	900013	
107		8	2	27	900031	
108		8	3	30	900028	
109		8	5	45	900047	
110		8	13	20	900049	
111		8	14	20	900050	
112		8	12	37	900042	
113		8	12	38	900043	
114		9	1	20	900054	
115		9	2	20	900055	
116		9	16	20	900056	
117		9	17	20	900057	
118		9	18	20	900058	
119		9	19	20	900059	
120		9	20	20	900060	
121		9	5	20	900061	
